136;IRN;472,1072
106;ISN;473,1073
203;LIN;474,1074
955;LRNm;475,1075
963;LRNp;476,1076
307;MARN;477,1077
1098;MDRNd;478,1078
1107;MDRNv;479,1079
852;PARN;480,1080
859;PAS;481,1081
970;PGRNd;482,1082
978;PGRNl;483,1083
177;NR;484,1084
169;PRP;485,1085
1069;PPY;486,1086
209;LAV;487,1087
202;MV;488,1088
225;SPIV;489,1089
217;SUV;490,1090
765;x;491,1091
773;XII;492,1092
781;y;493,1093
206;RM;494,1094
230;RPA;495,1095
222;RO;496,1096
512;CB;497,1097
912;LING;498,1098
976;CENT2;499,1099
984;CENT3;500,1100
1091;CUL4-5;501,1101
936;DEC;502,1102
944;FOTU;503,1103
951;PYR;504,1104
957;UVU;505,1105
968;NOD;506,1106
1007;SIM;507,1107
1056;ANcr1;508,1108
1064;ANcr2;509,1109
1025;PRM;510,1110
1033;COPY;511,1111
1041;PFL;512,1112
1049;FL;513,1113
989;FN;514,1114
91;IP;515,1115
846;DN;516,1116
1009;fiber tracts;517,1117
949;von;518,1118
1016;onl;519,1119
665;lot;520,1120
538;lotd;521,1121
900;aco;522,1122
848;IIn;523,1123
916;bsc;524,1124
336;csc;525,1125
117;och;526,1126
125;opt;527,1127
832;IIIn;528,1128
62;mlf;529,1129
158;pc;530,1130
911;IVn;531,1131
93;moV;532,1132
229;sV;533,1133
794;sptV;534,1134
798;VIIn;535,1135
1116;gVIIn;536,1136
413;vVIIIn;537,1137
841;tb;538,1138
506;das;539,1139
658;ll;540,1140
633;cic;541,1141
482;bic;542,1142
237;ts;543,1143
380;cuf;544,1144
697;ml;545,1145
744;cbc;546,1146
326;scp;547,1147
812;dscp;548,1148
850;uf;549,1149
866;sctv;550,1150
78;mcp;551,1151
1123;icp;552,1152
553;sctd;553,1153
728;arb;554,1154
956;fa;555,1155
579;ec;556,1156
964;ee;557,1157
1108;ccg;558,1158
971;fp;559,1159
986;ccs;560,1160
784;cst;561,1161
6;int;562,1162
924;cpd;563,1163
190;py;564,1164
198;pyd;565,1165
1092;em;566,1166
102;nst;567,1167
1051;tspd;568,1168
1060;dtd;569,1169
1043;tspc;570,1170
863;rust;571,1171
397;vtd;572,1172
884;amc;573,1173
908;act;574,1174
940;cing;575,1175
466;alv;576,1176
530;df;577,1177
603;fi;578,1178
428;mct;579,1179
436;fx;580,1180
443;dhc;581,1181
449;vhc;582,1182
301;st;583,1183
54;mfb;584,1184
349;sup;585,1185
753;pm;586,1186
690;mtt;587,1187
681;mtg;588,1188
673;mp;589,1189
802;sm;590,1190
595;fr;591,1191
611;hbc;592,1192
81;VL;593,1193
98;SEZ;594,1194
108;chpl;595,1195
129;V3;596,1196
140;AQ;597,1197
145;V4;598,1198
153;V4r;599,1199
164;c;600,1200
